GEOID,Megacluster,perMarkSlope,totMarkSlope,opgr500kSlope,slopelargeCropOp,cattlegr500_slope,hogsSlope,SlopeBroilOp,layerSlope,turkeySlope,Adens_Slope,CattleAMUSlope,HogAMUSlope,TurkeyAMUSlope,BroilerAMUSlope,LayerAMU
5033,Low,1.03043412,-72080,-0.54,0.06,0.12,NA,-0.1,NA,-0.32,-5.265895418,-299.4,-1.192,-269.74836,-1049.2908,0
5035,Low,1.758572913,6203520,2.18,0.68,NA,NA,NA,NA,NA,-0.0647609,-20.84,-0.144,0.02412,0.1396,0.3444
5037,Low,1.951660212,4264140,2,0.52,-0.16,NA,NA,NA,NA,-0.578092202,-182.52,-2.208,0,0,0.1522
5039,Low,0,-19240,-0.06,0.02,NA,NA,NA,NA,NA,-0.155271337,-52,-1.712,0,0,0.034
5041,Medium,1.997694299,5377420,2.22,1.44,0,NA,-0.06,NA,NA,-0.318636959,-126.84,0,0,0,0.0568
5043,Low,2.448271226,2149000,1.26,0.6,-0.08,NA,-0.1,NA,NA,-0.280005632,-19.56,-8.904,0,-91.6858,0
5045,Low,1.583762835,347620,0.52,0.1,-0.02,NA,NA,NA,NA,-2.158416546,-722.16,-2.224,0.0486,-0.1154,0
5047,Medium,0.857944885,4457560,1.2,0.28,0.36,-0.04,1.12,NA,-0.98,2.537752338,349.3,0.168,-709.31772,1160.211,0
5049,Low,2.041296525,771420,0.44,0.14,0.14,NA,NA,NA,NA,-0.512527696,-155.72,-8.44,0.0612,0.3442,-0.367
5051,Low,-0.271195405,-336980,0.1,-0.04,-0.04,-0.08,NA,NA,NA,-0.520815418,-199.46,16.688,0.01872,-0.0556,0
5053,Low,0.538874818,351820,0.18,0.18,0.48,NA,-0.02,NA,NA,1.016064486,267.58,-0.024,0.0144,64.927,0.037
5055,Medium,3.489624216,5500960,2.98,1.38,0.04,NA,NA,NA,NA,-0.321966804,-87.7,-8.864,0.00648,0.0032,0.2086
5057,Low,1.031223376,3936920,1.02,0.16,0.32,-0.16,0.22,-0.04,NA,-4.79855771,-63.88,-506.208,0.00612,-1238.2748,0
5059,Low,3.020030632,1011040,0.58,0.06,-0.14,NA,0.18,NA,NA,-0.183704317,-180.66,2.008,0.00216,120.0998,0
5061,Medium,2.123891269,6073880,4.32,0.36,0.6,-0.92,0.86,NA,NA,-3.106380217,298.12,-1006.784,-0.0108,-238.3862,0
5063,Medium,1.474570548,4785040,1.9,0.26,0.18,NA,0.66,NA,NA,1.879590274,-379.88,-34.712,-0.00432,1158.4686,0
5065,Low,1.452280625,1967220,0.8,0.08,0.48,0,0.76,NA,-0.06,1.551652365,120.2,0,0.0072,346.4476,1.42E-17
5067,Low,2.189534108,4307320,2.98,0.08,-0.02,NA,NA,NA,NA,0.086379662,-27.28,-7.048,-0.01692,62.4048,0.3008
5069,Low,1.315463195,5838160,1.6,0.16,-0.04,NA,0.04,NA,NA,0.269918017,-135.42,-8.536,0,265.604,0
5071,Low,1.267333248,3039380,0.36,0.16,0.24,-0.2,-0.66,NA,0.06,-4.123483464,108.92,-303.536,312.78024,-1527.555,0
5073,Low,1.094759133,2831380,0.76,0.3,0.18,NA,-0.74,NA,NA,-1.014552471,139.02,-9.248,0,-407.41,0
5075,Low,3.258567507,4749840,2.92,0.64,0.02,NA,0.74,NA,NA,1.289629996,-151.84,-5.344,0.00252,549.7226,0
5077,Low,1.188237577,4038900,0.78,0.2,NA,NA,NA,NA,NA,-0.238859148,-61.32,-13.328,0,0,0.0866
5079,Medium,1.065061481,5191640,2.2,0.68,-0.08,0,-0.74,NA,NA,1.388168904,-72.48,0,0,476.266,0
5081,Low,2.064936273,2625280,1.52,0.14,0.24,-0.42,-0.02,NA,NA,0.506238838,146.5,-274.288,0,267.3592,0
5083,High,1.42124445,6753760,2.62,0.16,0.86,-0.22,0.84,NA,0.1,3.035749141,717.38,-409.112,309.7296,495.7676,0
5085,Low,2.124380965,4764040,2.22,0.78,0.02,NA,-0.02,NA,NA,-0.641760176,-202.18,-1.584,0.00144,-52.8152,0.1498
5087,High,2.259235881,8801120,3.84,0.3,0.28,-0.34,1.6,NA,0.42,2.597254569,-1.88,-794.992,1078.80048,840.4598,0
5089,Low,1.093430195,1588600,0.5,0.32,0.44,NA,-0.08,NA,0.14,1.971014094,518.22,-6.752,166.71276,-68.6996,0
5091,Low,0.996435088,-346120,-0.62,-0.14,0.16,NA,-0.3,NA,NA,-3.768833305,-339.8,-5.36,-0.009,-876.4136,0
5093,Medium,1.282582969,8760120,1.46,1.18,NA,NA,NA,NA,NA,-0.138677622,-64.74,0,0,0,0.0474
5095,Low,2.486175509,4467280,2.04,0.36,NA,NA,NA,NA,NA,-0.158239152,-25.6,-24.24,0,0,0.0748
5097,Low,1.627850453,-642700,-0.2,0.1,0,-0.2,-0.2,NA,NA,-2.644153178,-125.72,-238.504,-0.00936,-703.9964,0
5099,Low,2.255397298,1174640,0.98,0.04,0.14,NA,0.2,NA,NA,-0.500228689,-48.62,-0.176,0,-111.2978,0
5101,Low,2.552466721,993620,0.28,0.02,0.02,-0.04,0,NA,0.26,0.087275555,-75.1,-143.04,255.25188,0,0
5103,Low,2.1083166,371860,-7.11E-18,-0.06,-0.08,NA,0.14,NA,NA,0.193339294,-148.66,-0.768,0.03528,222.7804,0
5105,Low,1.304134131,756420,0.12,0.12,3.55E-18,-0.2,-0.36,NA,0.06,-4.438315,-41.34,-203.392,0,-1023.0294,-0.2922
5107,Medium,1.445390358,6286780,2.84,1.56,-0.04,NA,NA,NA,NA,-0.278804793,-88.26,-12.216,0,0,0.0132
5109,Low,1.770368883,2657460,1.8,NA,0.06,-0.36,0.24,NA,NA,-1.368844381,235.16,-693.36,0,32.322,0
5111,Medium,2.851496101,5618100,3.9,0.98,NA,NA,NA,NA,NA,0.049137206,16.62,2.312,0.02016,0,0.3504
5113,Low,2.563143974,2945100,1.48,-0.02,0.04,-0.44,1.1,NA,NA,-1.958022581,-182.96,-808.744,-0.02988,122.0338,0
5115,Low,1.832357089,3128180,0.48,-0.02,-0.04,-0.94,0.92,NA,0.06,-3.88524403,-205.34,-1245.952,72.04752,-255.9826,0
5117,Low,2.503384657,3455660,2.56,0.22,-0.1,-0.04,NA,NA,NA,-0.479249528,-161.64,0.672,0.01404,-0.0092,0.1296
5119,Low,1.628728952,183280,0.34,-0.06,-0.02,NA,-0.1,NA,NA,-0.693424588,-325.38,-3.128,0.09108,56.1252,-0.1326
5121,Medium,2.688965886,5349260,2.48,0.12,0.3,NA,1.28,NA,NA,3.589848436,-53.58,-14.496,0.00288,1280.9044,0
5123,Low,2.385819215,4973320,2.7,0.54,NA,NA,NA,NA,NA,-0.20079572,-63.18,-2.976,0,-4.44E-19,0.1336
5125,Low,2.063250797,173000,0.08,NA,-0.06,NA,NA,NA,NA,-0.567314064,-211.6,-0.744,0.04572,0.0256,-0.362
5127,Low,1.931759512,2556680,0.72,0.1,0.18,-0.04,-0.14,NA,NA,-1.761284029,-398.82,0.16,-0.0072,-415.4748,0
5129,Low,0.860408344,375480,0.22,-0.02,-0.14,-0.04,NA,NA,0.12,-0.558896162,-138.78,-53.968,-0.00864,0.0836,-0.1412
5131,Medium,1.87224523,4140760,2.08,0.1,0.12,-0.04,1,NA,NA,5.623824738,10.92,0.208,-0.01728,1536.2516,0
5133,Low,1.674177467,4388380,1.66,0,0.22,-1.38,1.86,NA,NA,-3.291311358,-96.08,-1460.608,0.00468,592.9004,0
5135,Medium,2.305310622,5251960,2.02,0.12,0.18,NA,1.74,NA,NA,6.802256804,32.38,-9.192,-0.0036,2106.4682,0
5137,Low,2.756953507,1165660,1.1,0.1,0.68,NA,0.06,NA,NA,-2.627358187,86.74,-2.84,0.01512,-909.067,-0.2352
5139,Low,0.471511376,-2049300,-1.1,0.02,0.02,NA,-0.82,NA,NA,-3.360010253,-76.32,-2.016,0.11232,-1730.5746,0
5141,Low,0.506254767,-88540,0.08,0.06,0.3,-0.12,0.18,NA,NA,-0.95415372,24.4,-150.496,-0.02016,-224.2676,-0.4098
5143,Medium,1.117527325,8351180,0.94,0.08,0.02,-0.44,0.58,-0.12,-1.38,-6.43555564,-1070.44,-1692.952,-592.97832,216.193,0
5145,Low,2.294590611,3415460,0.64,0.14,0.06,-0.02,0.54,0.06,NA,-1.098340068,-712.72,-23.84,0.0774,147.5904,0
5147,Low,1.707534308,3869500,0.9,-0.04,0,NA,NA,NA,NA,-0.033228717,-10.1,0,0,0,0
5149,Medium,2.026431223,7751100,2.84,0.06,0.06,-0.44,1.42,NA,0.18,3.064570587,-57,-557.288,153.92736,1936.8456,0
17001,Medium,2.206349989,6968840,6.16,1.36,0.24,-0.5,NA,NA,NA,1.074620274,-261.52,736.576,0.11916,0.4432,0.3964
17003,Low,1.105279215,445920,0.24,-0.16,NA,NA,NA,NA,NA,-1.026112957,-121.08,-4.216,0,0.052,0.1264
17005,Low,2.687208897,2055200,2.36,0.8,-0.02,-0.08,NA,NA,NA,-2.07313981,-78.44,-329.728,-0.00972,0.0008,-0.262
17007,Low,1.754175036,1994520,1.22,-0.08,0,-0.06,NA,NA,NA,-2.495362431,-216.48,-145.872,-0.03384,-0.0362,-0.4938
17009,Low,1.634972423,1129100,0.94,-0.08,-0.04,-0.12,NA,NA,NA,-0.637499052,-236.2,135.288,0,0.0144,-0.0604
17011,Medium,2.126280012,10623520,7.76,1.06,-0.02,-1.14,NA,NA,NA,-2.681760978,-554.84,-652.56,0.018,0.0878,0
17013,Low,1.669374021,1046320,0.66,7.11E-18,NA,0.16,NA,NA,NA,1.70085011,-81.2,304.784,0,0,0.0514
17015,Low,1.619753141,6754540,2.36,0.58,-0.46,-0.5,NA,NA,NA,-3.546333398,-810.46,-7.376,0,-0.2718,-0.1004
17017,Low,1.790891388,3122220,2.7,0.56,-0.08,-0.26,NA,NA,NA,-1.639498505,-254.32,-64.928,0,0.0128,0.1238
17019,Medium,2.930384539,12505200,11.46,1.92,0.06,-0.08,NA,NA,NA,-0.089700532,193.78,-240.24,0.06516,0.1108,0
17021,Medium,2.744320595,9787780,6.22,1.6,0.12,-0.06,NA,NA,NA,1.185613808,-53.2,488.968,-0.0036,-0.0296,-0.0052
17023,Low,2.617003045,5442380,3.04,0.2,NA,-0.12,NA,NA,0.06,3.896654173,-122.58,1134.456,-0.00432,-0.0084,0.1406
17025,Low,2.226424141,3248940,1.62,1.1,-0.02,-0.04,NA,NA,NA,3.909054643,2.56,945.536,-0.0144,0.028,0.083
17027,Medium,1.746322692,6896800,3.8,0.36,0.64,-0.22,NA,0,NA,-1.676052097,420.06,-831.544,0,0.0124,0
17029,Low,3.032163302,3922480,4.06,0.58,-0.1,0.1,NA,NA,NA,-0.9052915,-172.88,-71.792,0.04752,6.1614,0.1094
17031,Low,-1.350824272,-281760,-0.16,-0.08,NA,NA,NA,NA,NA,-0.02655909,-13.5,0.448,0.04968,0.017,-0.0146
17033,Low,2.013556792,2667280,1.86,0.8,-0.1,-0.08,NA,NA,-0.12,-1.421959057,-132.36,-49.64,-144.91548,-4.44E-19,0.1404
17035,Low,2.174287142,3442640,1.58,0.5,0.12,-0.34,NA,NA,NA,1.650569798,2.76,292.856,-8.88E-19,-0.0332,0.196
17037,Medium,1.890419756,13913240,7.18,0.86,-0.28,-0.02,NA,NA,NA,5.701970372,-375.18,2240.44,-0.00108,-0.1246,-0.4142
17039,Low,3.261288543,4019060,4.12,0.36,0.06,0.02,NA,NA,NA,0.23597486,-8.06,56.664,0.02664,0.096,-0.131
17041,Medium,3.049916506,5209960,4.32,0.84,0.12,-0.12,NA,NA,NA,-0.924787683,144.6,-362.728,0.10764,18.4308,0
17043,Low,-2.729241931,-533120,-0.24,-0.02,NA,NA,NA,NA,NA,-0.049058315,-8.52,0.08,0.00576,0,0.1052
17045,Low,1.285088072,3650660,4.54,0.96,0.02,-0.18,NA,NA,NA,-6.24361855,-306.4,-1709.584,0,0,0.0436
17047,Low,2.606826702,1576020,1.4,0.24,NA,-0.08,NA,NA,NA,-1.863148556,-241.14,26.352,0.00144,0.0108,0.1364
17049,Medium,2.407478773,6475420,4.34,0.4,0.54,0.22,NA,NA,NA,8.852147595,330.72,1865.32,-0.2808,-0.0112,-0.402
17051,Low,2.214687581,4342460,4.2,0.72,0.32,-0.26,NA,NA,NA,-1.223756299,-184.98,-268.96,0.0396,0.1516,-0.4036
17053,Low,2.520896989,5831720,3.52,0.28,-0.04,-0.16,NA,NA,NA,3.614654276,-107.02,1016.64,0,-0.3032,-0.0938
17055,Low,2.833069803,2659940,1.94,0.36,NA,-0.14,NA,NA,0.04,-0.708622675,-24.88,-172.688,47.70612,0.0048,-0.2436
17057,Medium,3.004675829,7266660,5.22,0.86,0.26,-0.32,NA,NA,NA,-1.171359596,-350.3,-174.816,0.06336,-0.0248,-0.1918
17059,Low,1.710548224,3103140,1.06,0.24,NA,-0.12,NA,NA,NA,-1.397708437,-141.64,-92.208,0,0,0
17061,Low,1.741808175,5077440,4.54,0.88,0.18,-0.58,NA,NA,NA,-12.9678263,-177.64,-3470.064,0.00288,-0.0568,-0.0006
17063,Medium,3.031253425,4545940,4.12,1.02,-0.04,-0.12,NA,NA,NA,-0.795033496,-76.78,-95.704,0.0072,0.0288,0.2532
17065,Low,2.113225728,2414580,1.4,0.38,NA,-0.12,NA,NA,NA,-2.308676463,-123.34,-396.808,-7.11E-18,0.0278,0.3302
17067,Medium,2.70032179,11690020,6.66,1.4,0.08,0,NA,NA,NA,5.176526009,-423.8,2551.768,0.01728,0.1108,0.283
17069,Low,0,117380,0.22,0.06,0.06,-0.04,NA,NA,NA,-1.687002203,-155.06,0,0,0,0.0464
17071,Low,2.635816577,3999360,3.34,-0.3,-0.2,-0.08,NA,NA,NA,-2.669661049,-376.9,-147.168,0,-0.004,0.2432
17073,Medium,2.266388216,11152420,7.52,1.12,0.12,-2.18,NA,NA,NA,-6.625441049,-809.62,-2014.76,0.00576,0.1012,-0.4154
17075,Medium,1.981380312,12531160,10.74,1.82,0.22,-0.06,NA,0,NA,0.382569875,-66.04,287.592,0.01908,-0.1366,0
17077,Low,2.143648113,2748940,1.78,0.44,-0.12,-0.04,NA,NA,NA,-1.280853161,-291.82,-95.04,0.02736,-0.0068,-0.347
17079,Medium,2.302891111,4985140,2.46,0.34,0.16,-0.82,NA,NA,NA,7.036809056,-69.08,1871.736,0.01152,0.0756,0.1488
17081,Low,2.208861358,2929860,1.96,0.52,0.12,0.04,NA,NA,-0.14,-0.009545278,-127.42,140.112,-15.54228,0.4952,-0.4692
17083,Low,1.963807006,2248720,1.74,0.66,-0.16,-0.04,NA,NA,NA,-3.14799866,-340.62,-262.04,0.02808,0.0128,-0.1692
17085,Medium,2.489549518,4756000,3.24,0.56,0.78,-0.22,NA,NA,NA,-3.515024616,-545.34,-548.552,-0.01296,-0.1802,-0.0614
17087,Low,2.298241042,330820,0.34,-0.08,-0.28,-0.04,NA,NA,NA,-4.205080907,-581.4,-167.224,-0.02808,0.0264,-0.1048
17089,Low,1.223778818,3871740,1.88,0.28,-0.24,-0.28,NA,NA,NA,-0.351753723,-360.68,265.928,0.10008,0.0206,0
17091,Low,1.818676495,6837800,3.98,0.8,-0.16,-0.16,NA,0,NA,-2.16479377,-155.92,-602.704,0.13284,-0.1022,0
17093,Low,2.270150422,2591760,1.92,0.56,0.06,-0.16,NA,NA,NA,-2.854195753,28.78,-502.712,-0.01008,0.2768,0.204
17095,Medium,2.126324864,9388840,5.68,1.22,-0.32,-0.4,NA,NA,0.02,1.437058408,-530.12,1063.136,0,0.032,0.2236
17097,Low,0.714628325,410240,0.1,-0.02,0,NA,NA,NA,NA,0.007231132,9.24,-7.784,0.12852,0.0782,-1.42E-17
17099,Medium,2.773877739,13320360,12,1.9,-0.2,-0.5,NA,NA,NA,-1.595767211,-305.16,-632.824,0.03708,-0.0564,-0.3304
17101,Low,2.008932255,4946900,2.66,0.88,NA,0.04,NA,NA,-0.04,1.945211979,-52.12,561.544,-134.5356,-0.0424,0.1668
17103,Medium,2.676114686,10103700,7.82,1.16,-0.44,-0.04,NA,NA,NA,-0.563929025,-419.42,207.112,0.42372,0.164,0
17105,Medium,2.720641274,12273520,12.08,1.9,0.06,-0.52,NA,NA,NA,1.327585796,187.76,576.184,-47.4624,1.3118,-0.1048
17107,Medium,2.876294885,7089720,6.56,1.16,-0.06,-0.66,NA,NA,NA,-2.824157932,-184.32,-720.024,0,0.0228,0.1626
17109,Medium,2.639496533,7127640,5.52,0.62,0.14,0.06,NA,NA,NA,2.908195667,-278.34,1165.968,0.02304,0.2214,-0.0936
17111,Low,1.588639999,3850500,2.2,0.38,-0.32,-0.18,NA,NA,NA,-2.44872857,-396.3,-370.608,0.39708,1.1428,0
17113,Medium,2.759915219,14557760,12.04,1.68,-0.04,-0.68,NA,NA,NA,3.732716757,92.74,2195.464,0.09144,-0.0286,-0.4094
17115,Medium,3.055645321,5353300,5.38,0.84,0,-0.06,NA,NA,NA,-0.544001626,-6.74,-156.944,0.00648,-0.0088,0.085
17117,Low,1.884934451,6304080,4.74,0.92,-0.14,-0.8,NA,NA,NA,-3.653207779,-547.68,-1085.24,0,-0.0052,-0.1256
17119,Low,2.292953618,4785920,3.88,0.88,0.16,-0.4,NA,NA,NA,-2.590381608,-225.26,-734.904,0.04572,0.044,0
17121,Low,2.026146658,2871180,1.76,0.52,0.1,0.08,NA,0,NA,-0.9090635,-213.68,-56.024,0.0432,0.057,0
17123,Low,2.639020658,3721600,3.32,0.26,-0.08,-0.2,NA,NA,NA,-2.68698009,-226.84,-311.584,0.03924,0.008,-0.0098
17125,Medium,2.701904726,6954900,4.4,1.28,0.02,-0.32,NA,NA,NA,-2.270949441,-108.38,-526.328,0,0.07,0.1734
17127,Low,3.049913866,1475940,1.68,0.2,-0.24,-0.02,NA,NA,NA,-4.585113759,-282.38,-281.304,0,0.0252,0.191
17129,Low,2.373672225,2331040,1.94,0.34,-0.04,-0.5,NA,NA,NA,-4.313480054,-132.66,-569.968,0.00648,0,0.1546
17131,Medium,2.672931037,7518880,4.4,0.2,-0.04,-0.12,NA,NA,NA,6.112721479,-527,2304.36,-0.04248,-0.0282,-0.1936
17133,Low,2.567345943,2996700,2.7,0.74,-0.02,-0.42,NA,NA,NA,-2.828630477,-111.96,-452.408,-0.0018,-0.0116,-0.2068
17135,Medium,2.873128654,8841680,7.9,1.26,-0.08,0,NA,NA,NA,2.693893072,-187.72,1169.488,0.01584,-0.0372,0.2994
17137,Medium,2.554934062,5363860,4.98,1.04,-0.02,-0.88,NA,NA,NA,-4.098954247,-366.56,-841.792,-0.00576,0.09,0.237
17139,Medium,3.026160799,5023160,2.86,0.5,0.12,-0.24,NA,NA,NA,-1.295274021,84.48,-322.216,3.75192,8.5716,0
17141,Medium,2.272365058,8784360,5.82,0.72,-0.08,-0.38,NA,NA,NA,-0.681785163,-816.32,548.12,0.02916,0.2424,0
17143,Low,2.06189154,4851240,4.02,0.08,-0.1,-0.24,NA,NA,NA,-1.380950677,-293.06,-149.448,0.0252,0.2052,-0.3072
17145,Low,2.309110898,1922200,1.4,0.3,0.02,-0.06,NA,NA,NA,-1.471659017,-142.28,-194.752,0.02232,0.0602,0.1256
17147,Medium,3.245317736,5553420,4.64,1.06,0,-0.26,NA,NA,NA,-1.857168968,-105.42,-317.072,0,-0.006,-0.005
17149,Medium,1.991738258,8873100,4.54,0.74,-0.02,-0.72,NA,NA,NA,7.269521838,-689.04,3819.576,-0.0234,-0.03,0.0508
17151,Low,2.609940702,329160,0.34,0.12,0.1,-0.06,NA,NA,NA,-0.930453024,-122.06,-55.72,0.01368,0,-0.011
17153,Low,3.590617071,1251880,1.4,0.36,0.06,NA,NA,NA,NA,-1.552302316,-91.08,-69.296,0.01188,0,0.0966
17155,Low,1.177676072,1436640,0.62,0,NA,-0.06,NA,NA,NA,-3.599149855,-115.26,-183.264,0,-0.0086,0.0556
17157,Low,2.554513219,3220020,2.4,1,0,-0.1,NA,NA,0.06,-3.315890428,-487.22,-501.464,0.02412,0.235,0.1608
17159,Low,1.756113117,2930800,1.36,0.64,0.06,-0.06,NA,NA,0.04,0.311390191,26.36,82.392,-50.89752,0.0316,0.1872
17161,Low,2.038528701,3100320,1.98,0.36,0.12,-0.38,NA,NA,NA,-2.123273658,-111.08,-359.416,0.0216,0.2654,0.0746
17163,Low,2.067735215,3276520,3.32,0.24,0.12,-0.14,NA,NA,NA,0.101109805,15.74,18.848,-0.00324,0.0202,-0.158
17165,Low,2.567583232,2376800,1.92,0.4,0.04,-0.28,0.06,NA,NA,-2.083982856,-61.94,-348.216,-0.0216,-0.0212,0
17167,Medium,2.116491904,11816800,6.48,0.96,0.16,-0.18,NA,NA,NA,-0.874430621,86.9,-480.432,0.11268,0.1346,0
17169,Low,2.274116856,3792520,1.68,0.12,-0.06,0.04,NA,NA,NA,2.330820303,-293.28,821.12,-0.00324,0.0752,0.0668
17171,Low,3.163373769,3238820,2.2,0.74,NA,3.55E-18,NA,NA,NA,-1.141156314,-98.32,-50.104,0,0,0.1782
17173,Medium,2.649184824,6644640,5.92,0.82,0.34,0.28,NA,NA,NA,2.821229885,16.74,1091.656,-0.01332,0.0428,0.0542
17175,Low,2.207694794,3577560,3.06,0.38,NA,-0.28,NA,NA,NA,-4.336191444,-74.06,-573.144,0,0,0.1088
17177,Medium,2.628310381,9542240,5.54,1.1,0.94,-0.58,NA,0,NA,-5.29084123,-659.74,-886.552,0.00252,-0.1092,0
17179,Low,2.38238276,7003600,5.88,0.68,0.12,-0.74,NA,NA,NA,-1.554948767,-74.4,-446.288,0,0.3088,-0.322
17181,Low,1.579337547,1322120,0.92,0.46,-0.08,0,NA,NA,NA,-2.432783216,-467.12,-54.112,0.0234,0.1,0.1378
17183,Medium,2.831750799,8867320,7.28,1.34,0,-0.16,NA,NA,NA,-0.668850438,-106.56,-204.616,-0.00936,0.2024,-0.2512
17185,Low,2.853446284,1281620,1.4,0.26,0.02,-0.12,NA,NA,NA,-4.202174273,-109.5,-376.768,0.00432,0,0.1528
17187,Medium,2.958932592,9236100,6.42,1.16,0.3,0.2,NA,NA,NA,3.251325737,-216.46,1129.864,0.01368,0.0746,-0.0204
17189,Medium,2.613592576,5919180,4.64,1.34,0.42,-0.32,NA,NA,NA,2.205437716,-110.34,752.944,8.88E-19,0.0052,0.0966
17191,Medium,2.270765118,6550500,4.18,1.38,0.08,-0.02,NA,NA,0,0.178404883,-255.1,149.424,171.99396,-0.0784,-0.2722
17193,Low,1.934772307,4920520,2.54,0.62,NA,-0.02,NA,NA,NA,-0.880146249,-154.74,-70.848,-0.03816,-0.042,-0.0012
17195,Medium,2.287634596,11453680,6.14,1.08,0.18,-0.04,NA,NA,NA,0.368964503,-697.42,828.456,0.05112,-0.3402,0
17197,Low,1.970936832,2745220,3.38,0.48,NA,-0.16,NA,NA,NA,-0.815910504,-144.98,-208.304,0.2268,0.0838,-0.2988
17199,Low,3.465185987,1180940,1.1,0.06,0.06,-0.04,NA,NA,NA,-1.5137073,-160.6,-168.568,-0.03564,0.0016,-0.2864
17201,Low,2.029437952,2428560,2.32,0.42,0,-0.2,NA,NA,NA,-2.580185275,-217.62,-468.344,0.05904,0.42,-0.3636
17203,Medium,2.384641955,7070020,5.22,0.54,0.16,-0.36,NA,0.02,NA,2.887785288,-30.74,820.056,0,0.1016,0
18001,Medium,2.241246599,10491260,4.64,0.32,0.36,0.32,NA,-0.12,0.18,11.70670375,805.52,1193.488,63.7632,-7.506,0
18003,Low,2.218569332,5553740,3.82,0.56,-0.2,-0.2,NA,NA,0.06,-1.058079891,-281.4,-106.408,0.05184,27.4902,0
18005,Low,2.860185239,2890260,2.64,0.58,NA,-0.1,NA,NA,NA,-1.350791277,-148.42,-136.216,0.0198,-0.003,-0.1302
18007,Medium,3.29848915,6768860,4,0.96,0.08,-0.06,NA,NA,NA,0.86918306,258.2,-75.704,0.01908,0.188,0.2802
18009,Low,2.346393747,2441320,1,0.06,NA,-0.14,NA,NA,NA,0.362597097,-5.62,36.56,-0.00144,0.0014,0.0664
18011,Low,1.842483174,3547900,2.42,0.78,-0.04,-0.68,NA,NA,-0.18,-5.656444958,-144.6,-1058.088,-36.5634,0.5658,-0.457
18013,Low,0,30400,0,0,0,NA,NA,NA,NA,-0.430240507,-65.58,-3.824,-0.00504,0,-0.1216
18015,Low,1.782396959,7783160,3.9,0.62,0.12,-1.06,NA,NA,NA,3.05807599,-61.22,651.144,0.02016,0.102,-0.414
18017,Low,1.784463779,4514940,2.1,0.44,-0.06,-0.22,NA,NA,NA,0.867508302,-161.88,347.448,0.0486,-0.1256,-0.282
18019,Low,2.601280382,949640,0.98,0.34,-0.1,-0.06,0,NA,-0.06,-2.552330964,-422.4,-70.544,0.0144,0,0
18021,Low,2.193013208,1884200,2.08,0.6,-0.06,-0.34,NA,NA,-0.06,-3.086921596,-214.4,-357.656,0,0,0.2432
18023,Low,1.871865048,6048340,3.48,1.28,NA,-1.34,NA,-0.06,0,-7.424780618,-4.24,-1553.656,0,0,0
18025,Low,3.410137896,290060,0.2,0.1,NA,0.12,NA,NA,0.06,-0.829745458,-243.78,112.424,-0.00288,0.1162,-0.1118
